id,entity,sentiment,tweet
6001,FIFA,Positive,The fact that Andy Gray hates this so much makes me love the idea EVEN more.
6001,FIFA,Positive,The fact that Andy Gray hates it so much makes me love the idea all the more.
6001,FIFA,Positive,The fact that Andy Gray hates it so much makes me love the idea more.
6001,FIFA,Positive,The fact that Andy himself hates this so much makes me love the idea EVEN more.
6001,FIFA,Positive,The fact that Andy Gray probably hates this so much makes me love hearing the idea called EVEN more.
6001,FIFA,Positive,The fact that Andy Gray hates this so much made me relish the idea EVEN more.
6002,FIFA,Positive,In a good mood rn going to buy 3 people Fifa 21 Retweet & comment your PayPal.
6002,FIFA,Positive,Cheerful I buy 3 people Fifa 21 retweet & comment your paypal.
6002,FIFA,Positive,In good spirits I'm going to buy 3 people a Fifa 21 Retweet and comment on my PayPal.
6002,FIFA,Positive,In a good mood rn going to thank 3 people Fifa 21 Retweet & comment on PayPal.
6002,FIFA,Positive,Bye In a good mood rn and going in to buy 3 people Fifa 21 Retweet & comment your view PayPal.
6002,FIFA,Positive,In my good mood rn going to buy 3 people Fifa 21 Retweet someone comment your post.
6003,FIFA,Positive,Because of  
6003,FIFA,Positive,
6003,FIFA,Positive,
6003,FIFA,Positive,Because -
6003,FIFA,Positive,11 Because of
6003,FIFA,Positive,Because there
6004,FIFA,Irrelevant,Black Stars dip in latest FIFA rankings for the Month of October talksafrica.com/black-stars-di…
6004,FIFA,Irrelevant,Black Stars appear in the latest FIFA rankings for the month of October from talksafrica.com / black-stars-di...
6004,FIFA,Irrelevant,Black Stars dip in the latest FIFA ranking for the Month of October talksafrica.com / black-stars-di...
6004,FIFA,Irrelevant,Black Stars Rank in ICC FIFA rankings for the Month of October talksafrica.com/black-stars-di…
6004,FIFA,Irrelevant,Black Stars dip in both latest FIFA official rankings for the Month of The October talksafrica. com / black - stars - di …
6004,FIFA,Irrelevant,Black Squad feature in latest FIFA rankings for the Month of October 2012.com/black-stars-di...
6005,FIFA,Negative,"Fifa’s auto defending is so damn flawed, amateur level shit"
6005,FIFA,Negative,"Fifa's auto-defence is so damn flawed, shit at amateur level"
6005,FIFA,Negative,"Fifa's auto defense is so devilishly overblown, at amateur level crap"
6005,FIFA,Negative,"Fifa’s rape defending is so damn flawed, amateur level shit"
